Store Name = ALMADINA STORE,,,,,,
Company,Item,Unit price,Pieces,Purchase,Sale,Product Link
Gibs,Cake Time,Rs=20,24,211,240,https://www.daraz.pk/tag/gibs-cake-time/
Gibs,Supreme Cake,Rs=20,12,192,240,https://www.daraz.pk/tag/gibs-supreme-cake/
Peak Freans,Cupcake,Rs=20,12,198,240,https://www.daraz.pk/tag/peak-freans-cupcake/
Hilal,Cupcake,Rs=30,12,198,240,https://www.daraz.pk/tag/hilal-cupcake/
Peak Freans,Sooper Cake,Rs=50,12,318,360,https://www.daraz.pk/tag/peak-freans-sooper-cake/
Peak Freans,Donut Cake,Rs=40,6,264,300,https://www.daraz.pk/tag/peak-freans-donut-cake/
Peak Freans,Tedy Cake,Rs=40,8,292,320,https://www.daraz.pk/tag/peak-freans-tedy-cake/
Peak Freans,Rio Half,Rs=40,8,290,320,https://www.daraz.pk/tag/peek-freans-rio/
Peak Freans,Lemon Half,Rs=40,8,290,320,https://www.daraz.pk/tag/peak-freans-lemon/
Peak Freans,Party Half,Rs=40,8,290,320,https://www.daraz.pk/tag/peak-freans-party/
Peak Freans,Peanut Half,Rs=40,8,290,320,https://www.daraz.pk/tag/peak-freans-peanut/
Peak Freans,Sooper Half,Rs=40,8,290,320,https://www.daraz.pk/tag/peak-freans-sooper/
Peak Freans,Sandwich Half,Rs=40,8,290,320,https://www.daraz.pk/tag/peak-freans-sandwich/
Peak Freans,Butter Puff Half,Rs=40,8,290,320,https://www.daraz.pk/tag/peak-freans-butter-puff/
Peak Freans,Marie Half,Rs=40,8,290,320,https://www.daraz.pk/tag/peak-freans-marie/
LU,Tuc Half,Rs=40,8,268,320,https://grocerapp.pk/products/lu-tuc-biscuit-snack-pack-box-cl-70412/
LU,Nankhatai Half,Rs=40,8,268,320,https://www.daraz.pk/tag/lu-nankhatai/
LU,Zera Half,Rs=40,8,268,320,https://www.daraz.pk/tag/lu-zera/
LU,Gala Half,Rs=40,8,268,320,https://www.daraz.pk/tag/lu-gala/
LU,BisTiks Half,Rs=40,8,268,320,https://www.daraz.pk/tag/lu-bistiks/
LU,Oreo Half,Rs=40,8,268,320,https://www.daraz.pk/tag/lu-oreo/
LU,Butter Half,Rs=50,8,268,320,https://www.daraz.pk/tag/lu-butter/
LU,Prince Half,Rs=20,6,262,300,https://www.daraz.pk/tag/lu-prince/
Peak Freans,Lemon,Rs=20,16,289,320,https://www.daraz.pk/tag/peak-freans-lemon/
Peak Freans,Sooper,Rs=20,16,289,320,https://www.daraz.pk/tag/peak-freans-sooper/
Peak Freans,Rio,Rs=20,16,289,320,https://www.daraz.pk/tag/peek-freans-rio/
LU,TUC,Rs=20,16,267,320,https://grocerapp.pk/products/lu-tuc-biscuit-snack-pack-box-cl-70412/
LU,Candy,Rs=20,16,267,320,https://www.daraz.pk/tag/lu-candy/
LU,Mini Finguie,Rs=20,12,216,240,https://www.daraz.pk/tag/lu-mini-finguie/
